comparison,ci_lo,ci_hi,dm_stat,dm_pval
dual_vs_price,-0.029868244288486986,-0.004654388579650911,-249.41797021207304,0.0
dual_vs_concat,-0.02043327843863181,0.00047996840752418757,-135.0745879057556,0.0
dual_vs_har,-0.02398591904878329,-0.0006196136466719486,-169.72658479261992,0.0
